#                   T = 0.50                                        T = 1.00                                        T = 1.50                                        T = 2.00                    
#          r [Å]            ρ(r)           Δρ(r)           r [Å]            ρ(r)           Δρ(r)           r [Å]            ρ(r)           Δρ(r)           r [Å]            ρ(r)           Δρ(r)
  0.00000000E+00  2.62420234E-01  1.53776614E-04  0.00000000E+00  2.62537731E-01  1.95886494E-04  0.00000000E+00  2.63287407E-01  2.28002925E-04  0.00000000E+00  2.64131914E-01  1.75933269E-04
  1.45000000E-02  2.62100095E-01  1.54173426E-04  1.45000000E-02  2.62398963E-01  1.88189911E-04  1.45000000E-02  2.63072672E-01  2.18807665E-04  1.45000000E-02  2.63808477E-01  1.51076143E-04
  2.90000000E-02  2.61696418E-01  1.48579604E-04  2.90000000E-02  2.61894435E-01  1.95650864E-04  2.90000000E-02  2.62646464E-01  2.26962289E-04  2.90000000E-02  2.63304781E-01  1.63823532E-04
  4.35000000E-02  2.61006285E-01  1.59161152E-04  4.35000000E-02  2.61253535E-01  1.88862368E-04  4.35000000E-02  2.61923637E-01  2.14797805E-04  4.35000000E-02  2.62673960E-01  1.63141317E-04
  5.80000000E-02  2.60056448E-01  1.56400063E-04  5.80000000E-02  2.60280169E-01  1.84192852E-04  5.80000000E-02  2.61009924E-01  2.17750725E-04  5.80000000E-02  2.61727861E-01  1.59603900E-04
  7.25000000E-02  2.58902367E-01  1.58039083E-04  7.25000000E-02  2.59145966E-01  1.88178553E-04  7.25000000E-02  2.59888725E-01  2.17381622E-04  7.25000000E-02  2.60546906E-01  1.57973371E-04
  8.70000000E-02  2.57546052E-01  1.49564248E-04  8.70000000E-02  2.57778778E-01  1.89543446E-04  8.70000000E-02  2.58478477E-01  2.22127764E-04  8.70000000E-02  2.59185547E-01  1.59623804E-04
  1.01500000E-01  2.55920894E-01  1.54035974E-04  1.01500000E-01  2.56158611E-01  1.85471633E-04  1.01500000E-01  2.56886268E-01  2.14313276E-04  1.01500000E-01  2.57590072E-01  1.61166371E-04
  1.16000000E-01  2.54160226E-01  1.52356477E-04  1.16000000E-01  2.54331430E-01  1.85662073E-04  1.16000000E-01  2.55065201E-01  2.20688616E-04  1.16000000E-01  2.55758033E-01  1.60236205E-04
  1.30500000E-01  2.52102726E-01  1.45879781E-04  1.30500000E-01  2.52319114E-01  1.90662233E-04  1.30500000E-01  2.53030557E-01  2.18075923E-04  1.30500000E-01  2.53735623E-01  1.56335332E-04
  1.45000000E-01  2.49808255E-01  1.54126906E-04  1.45000000E-01  2.50042856E-01  1.92400453E-04  1.45000000E-01  2.50802051E-01  2.22498817E-04  1.45000000E-01  2.51505193E-01  1.61387189E-04
  1.59500000E-01  2.47359724E-01  1.54332709E-04  1.59500000E-01  2.47566520E-01  1.87988218E-04  1.59500000E-01  2.48301250E-01  2.20539309E-04  1.59500000E-01  2.49034576E-01  1.64157058E-04
  1.74000000E-01  2.44683456E-01  1.58041988E-04  1.74000000E-01  2.44906580E-01  1.91590906E-04  1.74000000E-01  2.45624133E-01  2.21044345E-04  1.74000000E-01  2.46348584E-01  1.55853815E-04
  1.88500000E-01  2.41812456E-01  1.50800685E-04  1.88500000E-01  2.42005168E-01  1.88082597E-04  1.88500000E-01  2.42727040E-01  2.18369551E-04  1.88500000E-01  2.43497276E-01  1.62780965E-04
  2.03000000E-01  2.38709595E-01  1.52280631E-04  2.03000000E-01  2.38970410E-01  1.89414307E-04  2.03000000E-01  2.39663227E-01  2.21533007E-04  2.03000000E-01  2.40414067E-01  1.62888610E-04
  2.17500000E-01  2.35444023E-01  1.55341168E-04  2.17500000E-01  2.35658177E-01  1.91612976E-04  2.17500000E-01  2.36421946E-01  2.19387094E-04  2.17500000E-01  2.37150671E-01  1.61541329E-04
  2.32000000E-01  2.32006537E-01  1.53656827E-04  2.32000000E-01  2.32203920E-01  1.91495351E-04  2.32000000E-01  2.32949753E-01  2.21619216E-04  2.32000000E-01  2.33719258E-01  1.59771654E-04
  2.46500000E-01  2.28367111E-01  1.53003849E-04  2.46500000E-01  2.28580840E-01  1.89065744E-04  2.46500000E-01  2.29324641E-01  2.22291556E-04  2.46500000E-01  2.30073888E-01  1.63531015E-04
  2.61000000E-01  2.24574807E-01  1.55844781E-04  2.61000000E-01  2.24748007E-01  1.88653082E-04  2.61000000E-01  2.25499810E-01  2.22870502E-04  2.61000000E-01  2.26254958E-01  1.63867387E-04
