# PIMCID: a48c7b1e-9699-4db5-b21f-f7eaecb6ffec
#              K               V               E            E_mu             K/N             V/N             E/N               N             N^2         density
  4.79579622E+02 -6.52132647E+02 -1.72553025E+02  3.21153871E+00  1.83325879E+01 -2.67973590E+01 -8.46477102E+00  2.44117450E+01  5.99374631E+02  2.53730604E-02
  4.30500507E+02 -6.51064211E+02 -2.20563704E+02 -4.60146424E+01  1.64514816E+01 -2.69402837E+01 -1.04888021E+01  2.42429252E+01  5.90991565E+02  2.51975927E-02
  4.21320536E+02 -6.28038108E+02 -2.06717572E+02 -3.62760717E+01  1.62491587E+01 -2.66366716E+01 -1.03875129E+01  2.36724306E+01  5.63957361E+02  2.46046324E-02
  4.80016694E+02 -6.40021785E+02 -1.60005091E+02  1.28919709E+01  1.86207441E+01 -2.67408156E+01 -8.12007155E+00  2.40134808E+01  5.79942861E+02  2.49591130E-02
  4.39832285E+02 -6.48332175E+02 -2.08499890E+02 -3.49527981E+01  1.68114614E+01 -2.69925552E+01 -1.01810939E+01  2.41037627E+01  5.84485051E+02  2.50529501E-02
  4.23829130E+02 -6.33805254E+02 -2.09976124E+02 -3.82133339E+01  1.60835147E+01 -2.66833857E+01 -1.05998710E+01  2.38559431E+01  5.72893310E+02  2.47953715E-02
  4.76065676E+02 -6.64883871E+02 -1.88818194E+02 -1.16866843E+01  1.81738859E+01 -2.70890269E+01 -8.91514096E+00  2.46015986E+01  6.08819626E+02  2.55703904E-02
  5.26268890E+02 -6.66877462E+02 -1.40608572E+02  3.79757557E+01  2.01343662E+01 -2.69562200E+01 -6.82185373E+00  2.48033788E+01  6.18141809E+02  2.57801166E-02
  5.03733227E+02 -6.61715673E+02 -1.57982446E+02  2.03466661E+01  1.90577290E+01 -2.68070353E+01 -7.74930627E+00  2.47679322E+01  6.16691593E+02  2.57432741E-02
  5.13786692E+02 -6.89063604E+02 -1.75276911E+02  7.03630075E+00  1.92725740E+01 -2.72717415E+01 -7.99916749E+00  2.53212795E+01  6.44239259E+02  2.63184117E-02
  5.27130048E+02 -6.58700601E+02 -1.31570553E+02  4.63664263E+01  2.01152238E+01 -2.67297177E+01 -6.61449393E+00  2.47134694E+01  6.13991361E+02  2.56866665E-02
  5.23755820E+02 -6.77213372E+02 -1.53457551E+02  2.68499341E+01  1.97991887E+01 -2.71127003E+01 -7.31351166E+00  2.50427063E+01  6.30443168E+02  2.60288685E-02
  4.92256729E+02 -6.64694520E+02 -1.72437791E+02  5.28171437E+00  1.88521080E+01 -2.69995423E+01 -8.14743426E+00  2.46832646E+01  6.12116735E+02  2.56552723E-02
  4.44128271E+02 -6.52938804E+02 -2.08810533E+02 -3.39654851E+01  1.70023261E+01 -2.69665375E+01 -9.96421146E+00  2.42840345E+01  5.93087345E+02  2.52403208E-02
  4.49549047E+02 -6.54097687E+02 -2.04548640E+02 -2.87713901E+01  1.70373270E+01 -2.68882663E+01 -9.85093926E+00  2.44135069E+01  5.99323090E+02  2.53748918E-02
  4.53044349E+02 -6.54766601E+02 -2.01722251E+02 -2.58221661E+01  1.70842374E+01 -2.69024796E+01 -9.81824225E+00  2.44305674E+01  6.00216454E+02  2.53926241E-02
  4.05889148E+02 -6.52114530E+02 -2.46225382E+02 -7.18983817E+01  1.53017174E+01 -2.70249331E+01 -1.17232157E+01  2.42120833E+01  5.90191944E+02  2.51655363E-02
  4.87875596E+02 -6.55834136E+02 -1.67958540E+02  8.03862102E+00  1.85200895E+01 -2.69307673E+01 -8.41067786E+00  2.44440502E+01  6.00801111E+02  2.54066378E-02
  4.77223327E+02 -6.45178184E+02 -1.67954857E+02  6.65637706E+00  1.84628074E+01 -2.66875996E+01 -8.22479214E+00  2.42515603E+01  5.91070000E+02  2.52065678E-02
  4.98963060E+02 -6.52515832E+02 -1.53552772E+02  2.15270685E+01  1.91584212E+01 -2.69133875E+01 -7.75496632E+00  2.43166445E+01  5.95192658E+02  2.52742150E-02
  5.66241800E+02 -6.69804225E+02 -1.03562425E+02  7.56026150E+01  2.16053153E+01 -2.69950665E+01 -5.38975112E+00  2.48840333E+01  6.22061900E+02  2.58639472E-02
  4.63829956E+02 -6.59751914E+02 -1.95921957E+02 -1.84863613E+01  1.75903759E+01 -2.68579861E+01 -9.26761029E+00  2.46438328E+01  6.10547944E+02  2.56142877E-02
  5.20448111E+02 -6.58007751E+02 -1.37559640E+02  3.96600157E+01  1.99413970E+01 -2.68127270E+01 -6.87132998E+00  2.46138411E+01  6.09219272E+02  2.55831149E-02
  5.36430957E+02 -6.42194510E+02 -1.05763553E+02  6.93781004E+01  2.06960407E+01 -2.64949883E+01 -5.79894763E+00  2.43252297E+01  5.94922473E+02  2.52831383E-02
  4.96369746E+02 -6.62983463E+02 -1.66613717E+02  1.03042492E+01  1.88661930E+01 -2.70620856E+01 -8.19589254E+00  2.45719398E+01  6.07273679E+02  2.55395636E-02
  4.80202855E+02 -6.52764977E+02 -1.72562122E+02  3.50314107E+00  1.81787742E+01 -2.67958820E+01 -8.61710782E+00  2.44535088E+01  6.01537789E+02  2.54164689E-02
  5.15882501E+02 -6.80281240E+02 -1.64398739E+02  1.64435395E+01  1.95057548E+01 -2.71528764E+01 -7.64712160E+00  2.51169831E+01  6.33606203E+02  2.61060703E-02
  5.11709934E+02 -6.46631209E+02 -1.34921275E+02  4.05330755E+01  1.96832577E+01 -2.66222595E+01 -6.93900179E+00  2.43686598E+01  5.96820962E+02  2.53282786E-02
  5.02227477E+02 -6.53972378E+02 -1.51744901E+02  2.43883326E+01  1.92222271E+01 -2.68218243E+01 -7.59959730E+00  2.44629492E+01  6.01783017E+02  2.54262810E-02
  5.26405964E+02 -6.89848722E+02 -1.63442759E+02  1.82859405E+01  1.99005855E+01 -2.73914369E+01 -7.49085139E+00  2.52400971E+01  6.39888317E+02  2.62340324E-02
  4.80859142E+02 -6.69736866E+02 -1.88877724E+02 -1.13340680E+01  1.83839364E+01 -2.72371339E+01 -8.85319755E+00  2.46588411E+01  6.10813013E+02  2.56298870E-02
  5.18927622E+02 -6.63453424E+02 -1.44525802E+02  3.31282182E+01  1.97793228E+01 -2.69676854E+01 -7.18836265E+00  2.46741695E+01  6.11991797E+02  2.56458190E-02
  4.98344009E+02 -6.57331982E+02 -1.58987973E+02  1.74897967E+01  1.90065482E+01 -2.69023776E+01 -7.89582946E+00  2.45108014E+01  6.04068153E+02  2.54760176E-02
  4.82141280E+02 -6.69150147E+02 -1.87008867E+02 -8.05567539E+00  1.80790925E+01 -2.70115188E+01 -8.93242632E+00  2.48546099E+01  6.21098865E+02  2.58333651E-02
  4.46457973E+02 -6.41929578E+02 -1.95471605E+02 -2.24611238E+01  1.72771689E+01 -2.67906558E+01 -9.51348683E+00  2.40292334E+01  5.80887143E+02  2.49754859E-02
  5.38978027E+02 -6.45666100E+02 -1.06688074E+02  6.92804298E+01  2.05239532E+01 -2.65157404E+01 -5.99178718E+00  2.44400699E+01  6.01086783E+02  2.54025008E-02
  4.84874818E+02 -6.52016373E+02 -1.67141555E+02  8.98261366E+00  1.84578982E+01 -2.67357528E+01 -8.27785461E+00  2.44616901E+01  6.01828944E+02  2.54249724E-02
  4.57973235E+02 -6.62125738E+02 -2.04152503E+02 -2.73795035E+01  1.72583964E+01 -2.70662397E+01 -9.80784333E+00  2.45518056E+01  6.06115694E+02  2.55186365E-02
  4.71115465E+02 -6.45320582E+02 -1.74205118E+02  1.86366198E-01  1.79867083E+01 -2.67319202E+01 -8.74521191E+00  2.42210394E+01  5.90543692E+02  2.51748451E-02
  5.32710875E+02 -6.44441920E+02 -1.11731045E+02  6.34054553E+01  2.04748557E+01 -2.65915680E+01 -6.11671226E+00  2.43245139E+01  5.95456389E+02  2.52823943E-02
  4.93350890E+02 -6.64974037E+02 -1.71623148E+02  5.95765235E+00  1.86772569E+01 -2.70549458E+01 -8.37768891E+00  2.46640000E+01  6.11734733E+02  2.56352491E-02
  4.85481967E+02 -6.54704570E+02 -1.69222603E+02  6.54851393E+00  1.85295049E+01 -2.68979179E+01 -8.36841303E+00  2.44126552E+01  5.99968655E+02  2.53740065E-02
  5.01381300E+02 -6.47270329E+02 -1.45889029E+02  2.93014198E+01  1.92702434E+01 -2.66827337E+01 -7.41249026E+00  2.43320068E+01  5.95253844E+02  2.52901823E-02
  4.66582118E+02 -6.56277209E+02 -1.89695090E+02 -1.42483404E+01  1.77586996E+01 -2.70147524E+01 -9.25605285E+00  2.43676042E+01  5.97440104E+02  2.53271814E-02
  4.57103832E+02 -6.61475804E+02 -2.04371972E+02 -2.80815803E+01  1.73419261E+01 -2.71092251E+01 -9.76729906E+00  2.44847766E+01  6.02791787E+02  2.54489680E-02
  5.22630092E+02 -6.51540478E+02 -1.28910386E+02  4.76928792E+01  2.00759224E+01 -2.66447698E+01 -6.56884746E+00  2.45282313E+01  6.04760612E+02  2.54941339E-02
  4.82291609E+02 -6.51704239E+02 -1.69412629E+02  5.92982483E+00  1.82874128E+01 -2.68622897E+01 -8.57487689E+00  2.43531186E+01  5.96735220E+02  2.53121255E-02
  5.25012765E+02 -6.59192790E+02 -1.34180025E+02  4.32760572E+01  1.99006133E+01 -2.68414079E+01 -6.94079462E+00  2.46466781E+01  6.10608322E+02  2.56172450E-02
  5.22356667E+02 -6.54906795E+02 -1.32550128E+02  4.46761691E+01  1.98413586E+01 -2.67043356E+01 -6.86297700E+00  2.46147635E+01  6.09194358E+02  2.55840737E-02
  5.12137878E+02 -6.82511203E+02 -1.70373325E+02  1.04013373E+01  1.92301970E+01 -2.72574678E+01 -8.02727080E+00  2.51075920E+01  6.33506120E+02  2.60963094E-02
  5.47726977E+02 -7.02892240E+02 -1.55165263E+02  2.86042320E+01  2.04806602E+01 -2.76056128E+01 -7.12495260E+00  2.55235410E+01  6.53982492E+02  2.65286381E-02
  4.72716844E+02 -6.43935540E+02 -1.71218696E+02  2.38024137E+00  1.80291142E+01 -2.68109164E+01 -8.78180213E+00  2.41109635E+01  5.85146977E+02  2.50604344E-02
  4.50196101E+02 -6.40401251E+02 -1.90205150E+02 -1.73213183E+01  1.73228542E+01 -2.67611380E+01 -9.43828386E+00  2.40116434E+01  5.80201224E+02  2.49572031E-02
  5.14194482E+02 -6.61546827E+02 -1.47352345E+02  3.03793011E+01  1.96606152E+01 -2.68772550E+01 -7.21663981E+00  2.46849508E+01  6.12210459E+02  2.56570249E-02
  4.73442047E+02 -6.51525578E+02 -1.78083530E+02 -2.63936718E+00  1.79199836E+01 -2.68414501E+01 -8.92146654E+00  2.43672449E+01  5.97349150E+02  2.53268080E-02
  5.07011404E+02 -6.53676985E+02 -1.46665581E+02  2.89310128E+01  1.94021081E+01 -2.68935150E+01 -7.49140694E+00  2.43884158E+01  5.98177459E+02  2.53488126E-02
  4.69448427E+02 -6.42435040E+02 -1.72986613E+02  8.86009104E-01  1.80319833E+01 -2.66903500E+01 -8.65836672E+00  2.41489753E+01  5.86994346E+02  2.50999431E-02
  4.47157302E+02 -6.47563355E+02 -2.00406053E+02 -2.62339177E+01  1.71570001E+01 -2.68443191E+01 -9.68731893E+00  2.41905743E+01  5.89203750E+02  2.51431803E-02
  5.14383764E+02 -6.60404940E+02 -1.46021176E+02  3.13684614E+01  1.94883800E+01 -2.68884143E+01 -7.40003427E+00  2.46374497E+01  6.10880738E+02  2.56076532E-02
  5.25093153E+02 -6.58085221E+02 -1.32992068E+02  4.48474301E+01  1.99360527E+01 -2.67262934E+01 -6.79024063E+00  2.46999303E+01  6.13530035E+02  2.56725943E-02
  4.54266527E+02 -6.38196451E+02 -1.83929924E+02 -1.11333529E+01  1.75058452E+01 -2.66841682E+01 -9.17832296E+00  2.39995238E+01  5.79220272E+02  2.49446063E-02
  5.17468677E+02 -6.73248166E+02 -1.55779489E+02  2.32289820E+01  1.97185963E+01 -2.71504200E+01 -7.43182362E+00  2.48622876E+01  6.21062680E+02  2.58413451E-02
  4.78243220E+02 -6.50221889E+02 -1.71978669E+02  2.95152988E+00  1.84569059E+01 -2.68420710E+01 -8.38516508E+00  2.42958609E+01  5.93664338E+02  2.52526130E-02
  5.06168523E+02 -6.65268507E+02 -1.59099983E+02  1.97933229E+01  1.91692159E+01 -2.68538943E+01 -7.68467846E+00  2.48462925E+01  6.20643776E+02  2.58247201E-02
