#                   T = 2.00                    
#          r [Å]          ρ1d(r)         Δρ1d(r)
  0.00000000E+00  2.43918342E-01  6.28445239E-03
  5.00000000E-01  2.39845280E-01  6.30657226E-03
  1.00000000E+00  2.40732218E-01  6.11914621E-03
  1.50000000E+00  2.45497902E-01  6.19571674E-03
  2.00000000E+00  2.51545457E-01  6.67530950E-03
  2.50000000E+00  2.53185209E-01  6.38362171E-03
  3.00000000E+00  2.46858174E-01  6.48505105E-03
  3.50000000E+00  2.39810432E-01  6.33231173E-03
  4.00000000E+00  2.37843775E-01  6.49855490E-03
  4.50000000E+00  2.41791376E-01  6.14306918E-03
  5.00000000E+00  2.49806091E-01  6.00888513E-03
  5.50000000E+00  2.56749769E-01  6.59763870E-03
  6.00000000E+00  2.54759686E-01  6.27241001E-03
  6.50000000E+00  2.45007050E-01  5.97204655E-03
  7.00000000E+00  2.35283209E-01  5.98887360E-03
  7.50000000E+00  2.33379077E-01  6.19682823E-03
  8.00000000E+00  2.38582189E-01  5.84489536E-03
  8.50000000E+00  2.50999450E-01  5.57152000E-03
  9.00000000E+00  2.61342900E-01  6.25568588E-03
  9.50000000E+00  2.59738070E-01  6.24980740E-03
  1.00000000E+01  2.47762133E-01  5.72934380E-03
  1.05000000E+01  2.36514338E-01  5.71453763E-03
  1.10000000E+01  2.30398000E-01  6.03758953E-03
  1.15000000E+01  2.30643292E-01  5.81181993E-03
  1.20000000E+01  2.38994539E-01  5.56359502E-03
  1.25000000E+01  2.50367120E-01  6.06132286E-03
  1.30000000E+01  2.56133640E-01  6.09365107E-03
  1.35000000E+01  2.55213624E-01  5.79605902E-03
  1.40000000E+01  2.50145102E-01  5.91001211E-03
  1.45000000E+01  2.40428812E-01  5.98849877E-03
  1.50000000E+01  2.31198738E-01  6.04857707E-03
  1.55000000E+01  2.31813932E-01  5.75942501E-03
  1.60000000E+01  2.41025803E-01  5.94431303E-03
  1.65000000E+01  2.51577824E-01  6.11627937E-03
  1.70000000E+01  2.57877914E-01  6.15863148E-03
  1.75000000E+01  2.56019797E-01  6.30948153E-03
  1.80000000E+01  2.45516058E-01  6.27718180E-03
  1.85000000E+01  2.34961609E-01  5.92737702E-03
  1.90000000E+01  2.34803783E-01  5.86864938E-03
  1.95000000E+01  2.41332123E-01  6.20985501E-03
  2.00000000E+01  2.48710807E-01  6.26802281E-03
  2.05000000E+01  2.50535093E-01  6.05577245E-03
  2.10000000E+01  2.47475097E-01  6.03014639E-03
  2.15000000E+01  2.41945838E-01  6.26657881E-03
  2.20000000E+01  2.38261887E-01  6.00244424E-03
  2.25000000E+01  2.40953160E-01  5.66040415E-03
  2.30000000E+01  2.46424443E-01  6.02086163E-03
  2.35000000E+01  2.50253619E-01  6.47085775E-03
  2.40000000E+01  2.48242940E-01  6.19155371E-03
  2.45000000E+01  2.43750725E-01  5.95447023E-03
  2.50000000E+01  2.40779392E-01  6.07610047E-03
  2.55000000E+01  2.40028985E-01  6.04163314E-03
  2.60000000E+01  2.42626571E-01  5.80648335E-03
  2.65000000E+01  2.47160006E-01  6.21274980E-03
  2.70000000E+01  2.49542785E-01  6.46414695E-03
  2.75000000E+01  2.46349085E-01  6.35218207E-03
  2.80000000E+01  2.41784679E-01  6.03950922E-03
  2.85000000E+01  2.39936461E-01  5.92706827E-03
  2.90000000E+01  2.40185217E-01  6.44178684E-03
  2.95000000E+01  2.43357536E-01  6.25529767E-03
  3.00000000E+01  2.48352971E-01  6.39428169E-03
  3.05000000E+01  2.49298647E-01  6.39118556E-03
  3.10000000E+01  2.46121444E-01  6.46475179E-03
  3.15000000E+01  2.43263312E-01  6.37278141E-03
  3.20000000E+01  2.40370836E-01  5.98978444E-03
  3.25000000E+01  2.39730712E-01  6.24373391E-03
  3.30000000E+01  2.43870111E-01  6.43597953E-03
  3.35000000E+01  2.50089616E-01  6.54822924E-03
  3.40000000E+01  2.50810227E-01  6.49344554E-03
  3.45000000E+01  2.47459971E-01  6.69490894E-03
  3.50000000E+01  2.45756552E-01  6.80448145E-03
  3.55000000E+01  2.42645933E-01  6.40660002E-03
  3.60000000E+01  2.40489258E-01  6.19913882E-03
  3.65000000E+01  2.42757945E-01  6.25051970E-03
  3.70000000E+01  2.47992949E-01  6.75116872E-03
  3.75000000E+01  2.50644275E-01  6.76209994E-03
  3.80000000E+01  2.48307026E-01  6.26092557E-03
  3.85000000E+01  2.43879731E-01  6.29921891E-03
  3.90000000E+01  2.41591515E-01  6.47329627E-03
  3.95000000E+01  2.43550406E-01  6.18795191E-03
  4.00000000E+01  2.47494036E-01  5.80208425E-03
  4.05000000E+01  2.49437836E-01  6.11163263E-03
  4.10000000E+01  2.47221585E-01  6.77727515E-03
  4.15000000E+01  2.43632887E-01  6.07293361E-03
  4.20000000E+01  2.40707691E-01  5.63015244E-03
  4.25000000E+01  2.42675146E-01  6.24964140E-03
  4.30000000E+01  2.47734393E-01  6.34668695E-03
  4.35000000E+01  2.50664726E-01  5.83645177E-03
  4.40000000E+01  2.50631107E-01  5.86273095E-03
  4.45000000E+01  2.47609242E-01  6.65298017E-03
  4.50000000E+01  2.40953893E-01  5.96773547E-03
  4.55000000E+01  2.37723822E-01  5.27416029E-03
  4.60000000E+01  2.41002915E-01  5.90877822E-03
  4.65000000E+01  2.47497155E-01  6.24663519E-03
  4.70000000E+01  2.50855623E-01  5.76445815E-03
  4.75000000E+01  2.49064403E-01  5.58802019E-03
  4.80000000E+01  2.44458486E-01  6.46632139E-03
  4.85000000E+01  2.38242517E-01  5.92765269E-03
  4.90000000E+01  2.36479064E-01  5.07471311E-03
  4.95000000E+01  2.43476411E-01  5.82887260E-03
  5.00000000E+01  2.52735531E-01  6.45083407E-03
  5.05000000E+01  2.55021662E-01  5.95222585E-03
