# PIMCID: c98674cb-9818-4827-8ba2-1a996bca1df0
#              K               V               E            E_mu             K/N             V/N             E/N               N             N^2         density
  4.17520746E+02 -6.21721420E+02 -2.04200674E+02 -3.50695128E+01  1.56725561E+01 -2.66135883E+01 -1.09410322E+01  2.34904390E+01  5.56338244E+02  2.44154742E-02
  5.21594605E+02 -6.39734976E+02 -1.18140371E+02  5.61502839E+01  1.97850680E+01 -2.65488791E+01 -6.76381107E+00  2.42070354E+01  5.90019248E+02  2.51602896E-02
  4.12197039E+02 -6.62244827E+02 -2.50047788E+02 -7.46508110E+01  1.52831280E+01 -2.72887527E+01 -1.20056247E+01  2.43606912E+01  5.97580783E+02  2.53199963E-02
  4.54093684E+02 -6.58824402E+02 -2.04730718E+02 -2.80926707E+01  1.71496504E+01 -2.69491292E+01 -9.79947885E+00  2.45330622E+01  6.04937464E+02  2.54991551E-02
  5.23359322E+02 -6.75103625E+02 -1.51744303E+02  2.80496871E+01  1.96778647E+01 -2.71170615E+01 -7.43919681E+00  2.49713876E+01  6.26991388E+02  2.59547413E-02
  4.94460611E+02 -6.68044514E+02 -1.73583904E+02  4.38309613E+00  1.86434860E+01 -2.71199254E+01 -8.47643941E+00  2.47176389E+01  6.14736991E+02  2.56910002E-02
  4.28856978E+02 -6.46849811E+02 -2.17992833E+02 -4.45149466E+01  1.62061209E+01 -2.69374380E+01 -1.07313171E+01  2.40941509E+01  5.84876415E+02  2.50429598E-02
  4.60530527E+02 -6.41528698E+02 -1.80998171E+02 -7.71036209E+00  1.75249741E+01 -2.67579220E+01 -9.23294788E+00  2.40677512E+01  5.83315694E+02  2.50155205E-02
  4.96494397E+02 -6.33502652E+02 -1.37008256E+02  3.55294585E+01  1.91700364E+01 -2.65418688E+01 -7.37183245E+00  2.39635714E+01  5.77867381E+02  2.49072382E-02
  4.33861634E+02 -6.41889392E+02 -2.08027758E+02 -3.51573946E+01  1.61936042E+01 -2.68566746E+01 -1.06630704E+01  2.40097727E+01  5.81065409E+02  2.49552589E-02
  5.08647993E+02 -6.57652840E+02 -1.49004848E+02  2.81556524E+01  1.92253867E+01 -2.68294051E+01 -7.60401832E+00  2.46056250E+01  6.08759952E+02  2.55745753E-02
  4.45285439E+02 -6.52081006E+02 -2.06795567E+02 -3.18916797E+01  1.68713513E+01 -2.69327199E+01 -1.00613686E+01  2.42922066E+01  5.93602817E+02  2.52488147E-02
  4.66357269E+02 -6.39279133E+02 -1.72921864E+02 -3.92760772E-02  1.77059677E+01 -2.67471595E+01 -9.04119182E+00  2.40114706E+01  5.80533431E+02  2.49570236E-02
