#                   T = 2.00                    
#          r [Å]          ρ1d(r)         Δρ1d(r)
  0.00000000E+00  2.53627495E-01  9.70371310E-03
  5.00000000E-01  2.40783248E-01  8.67902478E-03
  1.00000000E+00  2.34691629E-01  8.75936647E-03
  1.50000000E+00  2.38351007E-01  9.20093167E-03
  2.00000000E+00  2.46580690E-01  9.96707331E-03
  2.50000000E+00  2.52746788E-01  9.03510076E-03
  3.00000000E+00  2.57216640E-01  8.98648640E-03
  3.50000000E+00  2.56757442E-01  9.51923570E-03
  4.00000000E+00  2.46991009E-01  9.21538704E-03
  4.50000000E+00  2.39790465E-01  8.95685788E-03
  5.00000000E+00  2.39393975E-01  8.36621205E-03
  5.50000000E+00  2.43873451E-01  9.54251462E-03
  6.00000000E+00  2.47355567E-01  8.70188460E-03
  6.50000000E+00  2.49733134E-01  8.78442717E-03
  7.00000000E+00  2.51649259E-01  9.73112265E-03
  7.50000000E+00  2.51549750E-01  9.72106118E-03
  8.00000000E+00  2.47464130E-01  8.84944621E-03
  8.50000000E+00  2.44673836E-01  8.75484349E-03
  9.00000000E+00  2.47056591E-01  1.01608362E-02
  9.50000000E+00  2.45239759E-01  8.96573797E-03
  1.00000000E+01  2.43655968E-01  8.46155247E-03
  1.05000000E+01  2.46929960E-01  9.64423917E-03
  1.10000000E+01  2.51477755E-01  9.91866535E-03
  1.15000000E+01  2.50736722E-01  9.03707495E-03
  1.20000000E+01  2.51090985E-01  9.03530152E-03
  1.25000000E+01  2.50197722E-01  9.76998349E-03
  1.30000000E+01  2.43811393E-01  9.44874236E-03
  1.35000000E+01  2.40345529E-01  8.73575101E-03
  1.40000000E+01  2.47457310E-01  9.55016395E-03
  1.45000000E+01  2.51593517E-01  9.28194225E-03
  1.50000000E+01  2.46709056E-01  9.39633996E-03
  1.55000000E+01  2.44586178E-01  1.08147184E-02
  1.60000000E+01  2.43567280E-01  9.67550950E-03
  1.65000000E+01  2.37095104E-01  8.90711425E-03
  1.70000000E+01  2.38825472E-01  9.43358072E-03
  1.75000000E+01  2.50987427E-01  9.89108930E-03
  1.80000000E+01  2.57953671E-01  8.86795539E-03
  1.85000000E+01  2.53917347E-01  7.97295613E-03
  1.90000000E+01  2.45494936E-01  1.02462795E-02
  1.95000000E+01  2.35833092E-01  9.69812214E-03
